epoch,caption_accuracy,caption_loss,dynasty_accuracy,dynasty_loss,dynasty_top_k_categorical_accuracy,era_accuracy,era_loss,era_top_k_categorical_accuracy,location_accuracy,location_loss,location_top_k_categorical_accuracy,loss,lr,style_accuracy,style_loss,style_top_k_categorical_accuracy,val_caption_accuracy,val_caption_loss,val_dynasty_accuracy,val_dynasty_loss,val_dynasty_top_k_categorical_accuracy,val_era_accuracy,val_era_loss,val_era_top_k_categorical_accuracy,val_location_accuracy,val_location_loss,val_location_top_k_categorical_accuracy,val_loss,val_style_accuracy,val_style_loss,val_style_top_k_categorical_accuracy
0,0.0016149870352819562,6.32454252243042,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.8973627090454102,1e-04,0.0,0.0,1.0,0.0019379844889044762,6.278146266937256,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.8834439516067505,0.0,0.0,1.0
1,0.0003229974245186895,6.248982906341553,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.8746949434280396,1e-04,0.0,0.0,1.0,0.0,6.240980625152588,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.8722944259643555,0.0,0.0,1.0
2,0.033914729952812195,6.158035755157471,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.847411036491394,1e-04,0.0,0.0,1.0,0.0,6.183379650115967,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.8550139665603638,0.0,0.0,1.0
3,0.000645994849037379,6.139842987060547,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.841953158378601,1e-04,0.0,0.0,1.0,0.33850130438804626,6.164048671722412,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.8492146730422974,0.0,0.0,1.0
4,0.04134367033839226,6.057915210723877,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.8173747062683105,1e-04,0.0,0.0,1.0,0.6744186282157898,6.110115051269531,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.833034634590149,0.0,0.0,1.0
5,0.22868217527866364,5.880159378051758,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.7640479803085327,1e-04,0.0,0.0,1.0,0.5452196598052979,6.042551517486572,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.8127654790878296,0.0,0.0,1.0
6,0.28068476915359497,5.829092502593994,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.748727798461914,1e-04,0.0,0.0,1.0,0.8430232405662537,5.911477088928223,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.7734432220458984,0.0,0.0,1.0
7,0.40762272477149963,5.654371738433838,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6963114738464355,1e-04,0.0,0.0,1.0,0.7260981798171997,5.773911952972412,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.7321735620498657,0.0,0.0,1.0
8,0.433462530374527,5.547135829925537,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6641408205032349,1e-04,0.0,0.0,1.0,0.8624030947685242,5.415131568908691,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6245394945144653,0.0,0.0,1.0
9,0.5003229975700378,5.341865062713623,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6025596857070923,1e-04,0.0,0.0,1.0,0.7545219659805298,5.396921634674072,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6190766096115112,0.0,0.0,1.0
10,0.6482558250427246,5.120912551879883,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5362739562988281,1e-04,0.0,0.0,1.0,0.8604651093482971,4.892172813415527,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.4676518440246582,0.0,0.0,1.0
11,0.6111111044883728,4.66150426864624,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.398451328277588,1e-04,0.0,0.0,1.0,0.7958656549453735,5.2452712059021,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.573581337928772,0.0,0.0,1.0
12,0.6518087983131409,4.353027820587158,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.305908441543579,1e-04,0.0,0.0,1.0,0.7906976938247681,4.437224864959717,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.331167459487915,0.0,0.0,1.0
13,0.6518087983131409,3.681905508041382,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.1045717000961304,1e-04,0.0,0.0,1.0,0.832041323184967,2.6984128952026367,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.80952388048172,0.0,0.0,1.0
14,0.6518087983131409,3.3451004028320312,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0035301446914673,1e-04,0.0,0.0,1.0,0.7810077667236328,2.197439432144165,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6592318415641785,0.0,0.0,1.0
15,0.6518087983131409,3.415419578552246,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0246258974075317,1e-04,0.0,0.0,1.0,0.9276486039161682,1.062113642692566,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3186340928077698,0.0,0.0,1.0
16,0.6498708128929138,2.925997734069824,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8777992725372314,1e-04,0.0,0.0,1.0,0.9108527302742004,1.7729415893554688,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5318825244903564,0.0,0.0,1.0
17,0.6518087983131409,3.049957036972046,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9149870872497559,1e-04,0.0,0.0,1.0,0.762273907661438,2.379359006881714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7138077616691589,0.0,0.0,1.0
18,0.6518087983131409,2.8790194988250732,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8637058734893799,1e-04,0.0,0.0,1.0,0.713178277015686,2.143503189086914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6430509686470032,0.0,0.0,1.0
19,0.6518087983131409,2.8057310581207275,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8417193293571472,1e-04,0.0,0.0,1.0,0.832041323184967,1.3605390787124634,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40816178917884827,0.0,0.0,1.0
20,0.6518087983131409,2.8839848041534424,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8651955127716064,1e-04,0.0,0.0,1.0,0.8023256063461304,2.0867934226989746,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6260380744934082,0.0,0.0,1.0
21,0.6518087983131409,2.796144485473633,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8388434052467346,1e-04,0.0,0.0,1.0,0.7260981798171997,2.038379669189453,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6115139126777649,0.0,0.0,1.0
22,0.6518087983131409,2.680244207382202,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8040732741355896,1e-04,0.0,0.0,1.0,0.8837209343910217,1.0207051038742065,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.30621153116226196,0.0,0.0,1.0
23,0.6518087983131409,2.606806993484497,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7820422053337097,1e-04,0.0,0.0,1.0,0.832041323184967,1.4348901510238647,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.43046703934669495,0.0,0.0,1.0
24,0.6518087983131409,2.5735461711883545,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7720639109611511,1e-04,0.0,0.0,1.0,0.7403100728988647,1.9021199941635132,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5706360340118408,0.0,0.0,1.0
25,0.6518087983131409,2.6304948329925537,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7891485095024109,1e-04,0.0,0.0,1.0,0.832041323184967,1.3381710052490234,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40145131945610046,0.0,0.0,1.0
26,0.6518087983131409,2.7305402755737305,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.819162130355835,1e-04,0.0,0.0,1.0,0.8643410801887512,1.1306568384170532,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3391970694065094,0.0,0.0,1.0
27,0.649547815322876,2.7582457065582275,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8274738192558289,1e-04,0.0,0.0,1.0,0.8863049149513245,1.3231602907180786,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.39694809913635254,0.0,0.0,1.0
28,0.6518087983131409,2.659444570541382,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7978334426879883,1e-04,0.0,0.0,1.0,0.7829457521438599,1.7070250511169434,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5121075510978699,0.0,0.0,1.0
29,0.6518087983131409,2.501739740371704,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7505219578742981,1e-04,0.0,0.0,1.0,0.832041323184967,1.3300365209579468,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3990109860897064,0.0,0.0,1.0
30,0.6518087983131409,2.663492441177368,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7990477681159973,1e-04,0.0,0.0,1.0,0.8023256063461304,1.589159607887268,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.47674790024757385,0.0,0.0,1.0
31,0.6518087983131409,2.528376817703247,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7585131525993347,5e-05,0.0,0.0,1.0,0.7286821603775024,2.06858491897583,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.620575487613678,0.0,0.0,1.0
32,0.6518087983131409,2.5634143352508545,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7690243721008301,5e-05,0.0,0.0,1.0,0.8120155334472656,1.5245733261108398,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4573720097541809,0.0,0.0,1.0
33,0.6518087983131409,2.638836145401001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7916509509086609,5e-05,0.0,0.0,1.0,0.8294573426246643,1.4355071783065796,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4306521713733673,0.0,0.0,1.0
34,0.6518087983131409,2.5127201080322266,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7538160681724548,5e-05,0.0,0.0,1.0,0.7577519416809082,1.8222767114639282,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5466830134391785,0.0,0.0,1.0
35,0.6518087983131409,2.5561842918395996,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7668554186820984,5e-05,0.0,0.0,1.0,0.7958656549453735,1.6315674781799316,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4894702732563019,0.0,0.0,1.0
36,0.6518087983131409,2.5714008808135986,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7714203000068665,5e-05,0.0,0.0,1.0,0.7848837375640869,1.6868194341659546,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5060458779335022,0.0,0.0,1.0
37,0.6518087983131409,2.5287904739379883,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7586371302604675,5e-05,0.0,0.0,1.0,0.9276486039161682,0.6252527832984924,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.18757586181163788,0.0,0.0,1.0
38,0.6518087983131409,2.5209782123565674,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.756293535232544,5e-05,0.0,0.0,1.0,0.8081395626068115,1.5854418277740479,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.47563257813453674,0.0,0.0,1.0
39,0.6518087983131409,2.5307416915893555,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7592225074768066,5e-05,0.0,0.0,1.0,0.762273907661438,1.948778748512268,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5846336483955383,0.0,0.0,1.0
40,0.6518087983131409,2.631021738052368,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7893065810203552,5e-05,0.0,0.0,1.0,0.8294573426246643,1.4504574537277222,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.43513724207878113,0.0,0.0,1.0
41,0.6518087983131409,2.591423273086548,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7774270176887512,5e-05,0.0,0.0,1.0,0.8294573426246643,1.4382368326187134,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4314711093902588,0.0,0.0,1.0
42,0.6518087983131409,2.5606606006622314,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7681981921195984,5e-05,0.0,0.0,1.0,0.7848837375640869,1.7612354755401611,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5283706784248352,0.0,0.0,1.0
43,0.6518087983131409,2.5255448818206787,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7576635479927063,5e-05,0.0,0.0,1.0,0.8940568566322327,1.0579969882965088,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.31739911437034607,0.0,0.0,1.0
44,0.6518087983131409,2.5113372802734375,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7534012198448181,5e-05,0.0,0.0,1.0,0.8120155334472656,1.4883266687393188,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.44649800658226013,0.0,0.0,1.0
45,0.6518087983131409,2.487844228744507,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7463533282279968,5e-05,0.0,0.0,1.0,0.7906976938247681,1.6849790811538696,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5054937601089478,0.0,0.0,1.0
46,0.6518087983131409,2.5015709400177,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7504714131355286,2.5e-05,0.0,0.0,1.0,0.8837209343910217,1.0441275835037231,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3132382929325104,0.0,0.0,1.0
47,0.6518087983131409,2.5442240238189697,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7632672786712646,2.5e-05,0.0,0.0,1.0,0.8294573426246643,1.4672876596450806,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.44018635153770447,0.0,0.0,1.0
48,0.6518087983131409,2.548478841781616,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7645435929298401,2.5e-05,0.0,0.0,1.0,0.7906976938247681,1.6477373838424683,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.49432122707366943,0.0,0.0,1.0
49,0.6518087983131409,2.473447561264038,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7420342564582825,2.5e-05,0.0,0.0,1.0,0.7906976938247681,1.7041873931884766,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.511256217956543,0.0,0.0,1.0
50,0.6518087983131409,2.5160882472991943,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7548263669013977,2.5e-05,0.0,0.0,1.0,0.7655038833618164,1.8629566431045532,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5588870048522949,0.0,0.0,1.0
51,0.6518087983131409,2.4546074867248535,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.736382246017456,2.5e-05,0.0,0.0,1.0,0.723514199256897,2.0994153022766113,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6298246383666992,0.0,0.0,1.0
52,0.6518087983131409,2.5152201652526855,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7545660138130188,2.5e-05,0.0,0.0,1.0,0.7403100728988647,2.058817148208618,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6176451444625854,0.0,0.0,1.0
53,0.6518087983131409,2.496373176574707,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7489120364189148,2.5e-05,0.0,0.0,1.0,0.6589147448539734,2.5354931354522705,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7606479525566101,0.0,0.0,1.0
54,0.6518087983131409,2.5151541233062744,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7545462250709534,1.25e-05,0.0,0.0,1.0,0.7403100728988647,2.0955729484558105,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6286718845367432,0.0,0.0,1.0
55,0.6518087983131409,2.485525369644165,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7456576228141785,1.25e-05,0.0,0.0,1.0,0.8372092843055725,1.317344069480896,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.39520323276519775,0.0,0.0,1.0
56,0.6518087983131409,2.4727354049682617,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7418206334114075,1.25e-05,0.0,0.0,1.0,0.8391472697257996,1.357576608657837,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40727299451828003,0.0,0.0,1.0
57,0.6518087983131409,2.514742136001587,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.754422664642334,1.25e-05,0.0,0.0,1.0,0.8992248177528381,1.018538236618042,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.30556148290634155,0.0,0.0,1.0
